slug,model,maker,country,category,availability,price_usd_min,price_usd_max,as_of,release_year,height_cm,weight_kg,dof,battery_hours,payload_kg,reach_mm,speed_ms,repeatability_mm,power_w,ip_rating,sdk,price_note
mir-250,MiR250,Mobile Industrial Robots (MiR),Denmark,amr,for-sale,64790,64790,2026-09,2020,30,97,,13,250,,2,,,IP52,"MiR Fleet software, REST API","MiR sells mostly through request-a-quote distributor engagements, but at least one US distributor now lists a fixed, purchasable price of $64,790 for the base MiR250 unit. Most other distributors still show ""request a quote"" only, and final deployed cost depends heavily on top modules (lifts, conveyors, hooks) and MiR Fleet licensing, so treat this figure as an anchor for the base unit rather than a universal price."
locus-origin,Origin,Locus Robotics,USA,amr,enterprise-only,,,2026-09,2021,147,45,,14,36,,,,,,LocusOne fleet platform,"Locus does not sell Origin units outright - it is deployed under a Robots-as-a-Service model with hardware, software, integration and support bundled into the subscription. Press reports place typical RaaS rates at roughly $2,000-4,000 per robot per month on 12-36 month terms. Equivalent hardware value is estimated by press at $25,000-50,000 per unit."
geekplus-p1200r,P1200R,Geek+,China,amr,enterprise-only,35000,66000,2026-09,,,,,8,1200,,2,,,,Geek+ Robot Management System (RMS),"Geek+ sells its goods-to-person P-series project-based, so no official list price exists for the flagship P1200R. Distributor listings for P-series units run from about $35,000 for the mid-range P800R up to the mid-$60,000s, with the 1,200 kg P1200R at the upper end - treat the range as an estimate. Full system cost also includes fleet software and workstations."
agilox-one,AGILOX ONE,AGILOX,Austria,amr,enterprise-only,,,2026-09,2017,187,400,,1,1000,,1.6,,,,AGILOX X-Swarm intelligence,"AGILOX publishes no list price for the ONE, and neither do its distributors, all of which are quote-only. AGILOX does publish the structure of its rental offer - a fixed base fee plus a variable fee per operating hour over 12-60 months, alongside short-term rent and leasing through partners - but discloses no rate for any of them. No published price, rental rate or procurement figure for the ONE exists."
pudu-t300,T300,Pudu Robotics,China,amr,for-sale,20990,,2026-09,2023,135,65,,12,300,,1.2,,,,PUDU Cloud / Open API,"US resellers list the industrial T300 at $20,990 for outright purchase, with the lifting variant priced separately. Pudu and its partners also offer the robot under Robot-as-a-Service subscription terms. This is one of the few industrial-payload AMRs with a public sticker price."
german-bionic-apogee,Apogee,German Bionic,Germany,exoskeleton,for-sale,9900,,2026-09,2023,,7.5,,4,,,,,,,Closed (German Bionic IO),"German Bionic does not publish a list price for the Apogee; press reports cite $9,900 for the closely related Apogee+ variant, which is the best public anchor. Most corporate deployments run on rental terms of roughly GBP 350 per unit per month plus a one-off vest purchase. The newer Apogee ULTRA (36 kg support) is in preorder with undisclosed pricing."
ekso-evo,Ekso EVO,Ekso Bionics,USA,exoskeleton,for-sale,1495,1495,2026-09,2020,,4.1,,,,,,,,,,"The manufacturer's own web store lists the Ekso EVO upper-body vest at $1,495, with Level 2 support springs included and other spring levels sold separately. This is far below the roughly $7,000 press-reported price of its EksoVest predecessor. Passive spring assist of 2.2-6.8 kg per arm for overhead work; no battery required."
ottobock-paexo-back,Paexo Back,Ottobock,Germany,exoskeleton,for-sale,6400,6400,2026-09,2019,,4.5,,,,,,,,,,"Press reports cite a list price of EUR 5,900 (about $6,400) for the passive Paexo Back, with leasing from EUR 69 per month via the manufacturer. Purely mechanical design that relieves the lower back by up to 25 kg during lifting, with no battery or charging. Sold through Ottobock's industrial channel and distributors."
herowear-apex-2,Apex 2,HeroWear,USA,exoskeleton,for-sale,1499,1999,2026-09,2023,,1.4,,,,,,,,,,"The manufacturer publishes pricing openly: $1,999 per individually fitted suit for single users, dropping to about $1,499 per suit in corporate volume packages (e.g. $14,990 for 10 users). Enterprise deployments can use Exo-as-a-Service from under $99 per user per month, and a $4,999 all-sizes research kit is offered to institutions. Passive textile exosuit with a mechanical on/off clutch that cuts back muscle strain by 20-40%."
byd-xiao-di,Xiao Di,BYD,China,humanoid,not-for-sale,,,2026-09,2026,161,58.5,31,,1,,,,,,,"Not for sale: BYD has disclosed no price, no order channel and no production timeline. Xiao Di debuted as a working prototype in early August 2026 at BYD's Di Space showroom in Zhengzhou, where the company plans to place two to three units per dealership as a greeter that explains vehicles to customers. BYD has not said whether the robot will ever be sold to third parties."
agibot-a2-ultra,AgiBot A2 Ultra,Agibot (Zhiyuan Robotics),China,humanoid,enterprise-only,,,2026-09,,169,69,40,1.5,2,,1.2,,,,AimMaster control client; Linksoul platform for enterprise task customization. No open public SDK terms published.,"AgiBot publishes no price for the A2 Ultra: its own store lists the robot as contact-sales only, and units are supplied through enterprise agreements. Figures circulating for this class of robot are analyst estimates rather than quoted offers, so none is shown here."
fourier-gr-1,Fourier GR-1,Fourier Intelligence,China,humanoid,enterprise-only,,,2026-09,2023,165,55,40,,50,,1.39,,,,,"Fourier never announced a price for the GR-1; production units went quote-only to research institutions and industrial partners. Mass-production unit costs of roughly $150,000-$170,000 have appeared in press reports, but those are reported cost estimates, not a purchasable price. As of 2026 the GR-1 is no longer in Fourier's lineup, which has moved on to the GR-2 and GR-3."
figure-02,Figure 02,Figure AI,USA,humanoid,enterprise-only,,,2026-09,2024,168,70,,5,20,,1.2,,,,,"Figure AI never published an MSRP for Figure 02 and sells it through no store or configurator; the robot was deployed only through commercial partnerships and pilots such as the BMW line. Per-unit figures around $130,000 in press reports are estimates of pilot cost, not a quoted price. Figure 02 has since been superseded by Figure 03."
leju-kuavo,Leju KUAVO,Leju Robotics,China,humanoid,enterprise-only,,,2026-09,2024,166,,30,,,,1.28,,,,"Open developer stack: public source repository (kuavo_opensource), SDK, documentation, simulation platform and 20+ demo cases; open embodied-AI manipulation datasets.","Leju has not published a per-unit list price for KUAVO; research-edition units are quoted directly to universities, labs and industrial customers. Leju's own ChiNext IPO prospectus (accepted May 2026) discloses that the Kuavo series' average selling price fell from about RMB 413,900 in 2024 to RMB 308,100 in 2025 (roughly $57,500 to $42,800) - a real disclosed average across the whole product line, not a specific offer for this model, so no single price is shown here."
robot-era-star1,ROBOTERA STAR1,ROBOTERA (Robot Era),China,humanoid,not-for-sale,,,2026-09,2024,171,65,55,,,,3.6,,,,,"ROBOTERA has not published a price for STAR1 and offers no purchase channel; the robot was presented as a high-speed locomotion demonstrator, best known for its Gobi Desert running record. Per-unit figures near $50,000 and $120,000 appear in secondary reports, but they conflict and none traces to a manufacturer announcement, so both are treated as estimates."
rainbow-robotics-rb-y1,Rainbow Robotics RB-Y1,Rainbow Robotics,South Korea,humanoid,for-sale,80000,120000,2026-09,2024,140,131,24,,3,,1.5,,,,"rby1-sdk - official Python and C++ SDK, Apache 2.0, on GitHub","Rainbow Robotics announced pre-order pricing itself: $80,000 for the research platform and $120,000 for the commercial platform, VAT excluded, with deliveries from October 2024. The price excludes the optional high-performance 3D recognition sensor and the Master ARM teaching kit; ordering runs through the manufacturer's sales team. This is a wheeled bimanual mobile manipulator rather than a biped."
neura-4ne1-mini,NEURA 4NE1 Mini,Neura Robotics,Germany,humanoid,preorder,23100,34650,2026-09,2026,132,36,25,2.5,3,,,,,,"Neuraverse OS with NVIDIA Isaac GR00T foundation models; C++ SDK, digital twin and teleoperation in the Pro tier","NEURA lists the Mini on its own reservation store at EUR 19,999 (Standard) and EUR 29,999 (Pro), about $23,100 to $34,650. A refundable EUR 100 reservation fee is credited against the purchase; the Pro premium buys 12-DoF dexterous hands, the C++ SDK, digital-twin access and teleoperation. Shipping was announced for April 2026; taxes, shipping and support contracts are excluded."
mentee-menteebot-v3,MenteeBot V3.0,Mentee Robotics,Israel,humanoid,not-for-sale,,,2026-09,2025,175,70,40,3,25,,1.5,,,,,"No price and no sales channel. Mobileye completed its $900 million acquisition of Mentee Robotics on February 3, 2026, and expects first on-site customer proof-of-concept deployments in 2026, with series production targeted for 2028. Older press figures around $35,000, and a roughly $20,000 future unit cost, are unconfirmed projections rather than offers."
clone-alpha,Clone Alpha (Protoclone),Clone Robotics,Poland,humanoid,preorder,,,2026-09,2025,180,,200,,,,,,,,,"Clone Robotics publishes no price. Its own pre-order page invites reservations for a limited run of 279 units but states no unit price, no deposit and no delivery date. Figures circulating in press and forums run from about $20,000 to over $200,000 and none traces to the manufacturer. No complete Alpha has been publicly demonstrated walking unsupported."
ai2-robotics-alphabot-2,AlphaBot 2,AI2 Robotics (Zhipingfang),China,humanoid,enterprise-only,,,2026-09,2025,,,34,6,,,,,,,,"AI2 Robotics publishes no list price and sells through enterprise contracts in China. A September 2025 bulk order was reported at close to RMB 500 million for over 1,000 robots, which implies roughly RMB 500,000 (about $69,000) per unit - but that is an average across three years of deployment at multiple sites, not a purchasable price. A separate press report quoting 'from about $15,000' is unverified and irreconcilable with the order value, so no figure is published here."
softbank-whiz,SoftBank Whiz,SoftBank Robotics,Japan,service,for-sale,25000,25000,2026-09,2019,65.3,30,,3,,,0.5,,,,,"US distributor listings quote $25,000 to buy the Whiz commercial vacuum outright, or robot-as-a-service starting around $699/month, with an alternate comparison-table figure of about $1,042/month depending on term length. SoftBank Robotics itself publishes no price and sells by quote; the subscription bundles hardware, installation, training, software updates and support, while filters, dust bags, brushes and replacement batteries are extra."
pal-robotics-tiago,PAL Robotics TIAGo,PAL Robotics,Spain,service,for-sale,,,2026-09,2015,145,70,7,5,3,,1.5,,,,"ROS (Ubuntu LTS, RT Preempt), MoveIt!, ros_control","PAL Robotics sells TIAGo by quote only, with no published list price. The only manufacturer-linked figures date from the 2015 launch (roughly EUR 30,000 base without arm, EUR 50,000 with a 7-DoF arm, EUR 60,000 with the five-fingered hand); those predate the current hardware by a decade and are not treated as a current price. Configuration - arm count, laser range, end-effector, AI kit, software packages - drives most of the cost."
reachy-2,Reachy 2,Pollen Robotics (Hugging Face),France,service,for-sale,70000,70000,2026-09,2025,166,50,7,,3,,,,,,"Python SDK, ROS 2 Humble, LeRobot (open source)","Reachy 2 launched at a publicly stated $70,000, quoted by Hugging Face's CEO and widely covered in the tech press after Hugging Face acquired Pollen Robotics in April 2025. Reduced configurations (stationary, single-arm) were quoted lower before launch. The price covers the robot platform; shipping, duties, spare parts and training are not included."
hello-robot-stretch-3,Hello Robot Stretch 3,Hello Robot,USA,service,for-sale,24950,24950,2026-09,2024,141,24.5,7,5,2,,,,,,"ROS 2 and Python SDK (open source), Stretch AI","Hello Robot publishes an open list price of $24,950 for Stretch 3 on its own product site, in the standard configuration with dexterous wrist, gripper camera and second head camera. The maker has since introduced Stretch 4 at a published $29,950, so Stretch 3 is now the previous generation. Price excludes shipping, duties and optional end-effectors."
boston-dynamics-stretch,Boston Dynamics Stretch,Boston Dynamics (Hyundai),USA,amr,enterprise-only,,,2026-09,2022,,1202,7,8,23,,,,,,,"Boston Dynamics has never published a price for Stretch; it has been sold by quote since commercial availability in 2022. Figures of $300,000-$500,000 circulating online are third-party estimates rather than offers. Announced fleet deals (a $15M DHL Supply Chain pre-order, a $10M NFI order) cover many robots plus deployment and service and cannot be divided into a unit price."
neura-lara-5,NEURA LARA 5,Neura Robotics,Germany,industrial-arm,for-sale,21800,21800,2026-09,2021,,26,6,,5,800,,0.02,1200,IP66,"NeuraPy API, NR easy drag-and-drop GUI; EtherCAT/IO-Link, Ethernet/IP, PROFINET, Modbus TCP/RTU","European distributor listings put the LARA 5 at EUR 18,900 excl. VAT (about $21,800), with the wider family running EUR 16,500 for LARA 3 to EUR 26,900 for LARA 15. The price covers robot, control box and teach panel; gripper, tooling, integration and VAT are extra. NEURA itself quotes on request."
neura-maira-s,NEURA MAiRA S,Neura Robotics,Germany,industrial-arm,for-sale,43300,43300,2026-09,2021,,51,7,,18,1100,,0.01,,IP65,"Python NeuraPy API, NR easy GUI, optional low-level controller/sensor access; GPIO, Modbus TCP/RTU","European distributor listings show MAiRA S at EUR 37,500 excl. VAT (about $43,300) and MAiRA M at EUR 39,500 (about $45,600); NEURA does not publish MAiRA pricing itself and sells on quotation. The figure excludes VAT, gripper, optional force-torque sensor, integration and support."
shadow-dexterous-hand,Shadow Dexterous Hand,Shadow Robot Company,United Kingdom,industrial-arm,for-sale,127000,127000,2026-09,,,4.3,20,,5,,,,,,"Full ROS integration (EtherCAT stack), Python/C++ API, Gazebo model; source and schematics under NDA","Shadow Robot published EUR 110,000 for the full 20-DoF Shadow Hand Plus, including shipping, installation, training and support (about $127,000); the same manufacturer post prices a cut-down 2-finger 7-DoF hand at about EUR 45,000. The figure comes from Shadow's own pricing article and has not been restated since, so treat it as an anchor rather than a live quote - the company sells on request."
unitree-a2,Unitree A2 (Stellar Explorer),Unitree Robotics,China,quadruped,for-sale,31900,40900,2026-09,2025,57,42,12,5,25,,3.7,,,IP56,"Unitree secondary development (high- and low-level), ROS 2, NVIDIA Isaac Sim support","Unitree lists no price for the A2 on its own site (contact sales); US reseller listings show A2 Standard at $31,900 and A2 Pro at $40,900, both currently out of stock. Prices cover the robot with dual batteries and exclude shipping, duties, the wheeled A2-W variant and expansion compute docks, which are quoted separately."
wandercraft-atalante-x,Wandercraft Atalante X,Wandercraft,France,exoskeleton,enterprise-only,,,2026-09,2022,168,80,12,,,,0.56,,,,,"Wandercraft publishes no list price. Atalante X is a medical device sold to rehabilitation institutions under contract, and in France through central public purchasing agencies with multi-year instalment options. Press reports around the US launch put European hospital units at roughly $176,000 each (about EUR 150,000) - a reported figure rather than a quoted price."
agibot-a2-lite,AgiBot A2 Lite,Agibot (Zhiyuan Robotics),China,humanoid,for-sale,44560,44560,2026-09,,169,63,23,1.5,1.5,,0.8,,,IP5X (joint modules),AgiBot Botnet software support; motion development and swarm control tools,"Listed at $44,560 on AgiBot's own global online store, quoted directly in USD. The price covers the robot, battery pack, battery and accessory chargers, wireless e-stop, wireless controller and transport cart, with a 1-year / 3,000-hour warranty. Shipping is quoted separately at roughly $500-$3,000 depending on destination, and customs duties and taxes are the buyer's responsibility."
agibot-x2,AgiBot X2,Agibot (Zhiyuan Robotics),China,humanoid,for-sale,24240,24240,2026-09,2026,131,35,25,2,3,,1.8,,,,,"Listed at $24,240 on AgiBot's own global online store, quoted directly in USD, covering the robot, battery, charger, remote controller and microphone. Shipping is quoted separately at roughly $500-$3,000 depending on destination, and customs duties and taxes are the buyer's responsibility. Sits between the open-source X1 developer kit and the full-size A2 series in AgiBot's lineup."
agibot-x2-ultra,AgiBot X2 Ultra,Agibot (Zhiyuan Robotics),China,humanoid,enterprise-only,,,2026-09,2026,131,39,30,2,3,,1.8,,,,,"AgiBot publishes no price for the X2 Ultra: its own store lists the robot as contact-sales only, supplied through enterprise agreements. It adds 3D LiDAR, an RGB-D camera and 5 more degrees of freedom over the base X2, which does carry a public $24,240 price."
limx-tron-1,LimX TRON 1,LimX Dynamics,China,humanoid,for-sale,15000,25000,2026-09,2024,84.5,20,,2,15,,1,,,,Python and C++ SDK with open hardware interface (Education Edition only),"LimX Dynamics' own store lists TRON 1 Standard Edition at $15,000 and the Education Edition at $25,000, both purchasable directly. The Standard package includes the robot body, three interchangeable foot modules, battery, charging dock, handheld controller, haulage rope and roll cage; the SDK and secondary-development toolchain come only with the $25,000 Education Edition."
limx-tron-2,LimX TRON 2,LimX Dynamics,China,humanoid,for-sale,7000,25000,2026-09,2025,,,26,,30,,5,,,,"Python and C++; ROS 1 / ROS 2; Isaac Sim, MuJoCo and Gazebo simulation support","At its December 2025 launch, LimX Dynamics priced the base stationary dual-arm TRON 2 configuration at 49,800 CNY (about $7,000), open for pre-order on the manufacturer's own site and independently confirmed by multiple outlets covering the launch. EDU configurations add $20,000 for the dual-arm EDU kit and $25,000 for the full 3-in-1 EDU kit (dual-arm, bipedal and wheeled-leg modules). US resellers list the 3-in-1 EDU kit substantially higher, around $33,000, with freight and customs quoted separately."
booster-k1,Booster K1,Booster Robotics,China,humanoid,for-sale,5999,5999,2026-09,2025,95,19.5,22,0.5,,,,,,,"Secondary development supported; upgradeable firmware, Gigabit Ethernet expansion","Booster Robotics announced the K1 Geek Edition at $5,999 at its October 2025 launch, quoted in USD by the maker, with a $4,999 promotional price during the launch window only. The Geek price covers the 22-DoF robot with 48 TOPS compute, a 2Ah battery, carrying case and a 3-month warranty. The Education (117 TOPS) and Professional (200 TOPS) editions add a 5Ah battery and a 1-year warranty but carry no publicly listed price."
agibot-d1-ultra,AgiBot D1 Ultra,Agibot (Zhiyuan Robotics),China,quadruped,for-sale,7680,7680,2026-09,,,,12,,8,,3.7,,,IP54,"Secondary development supported, with an embedded reinforcement-learning locomotion stack","Listed at $7,680 on AgiBot's own global online store, alongside the D1 Pro at $3,200 and D1 Edu at $6,080, quoted directly in USD. Shipping, customs duties and optional payload modules (LiDAR, depth camera, RTK, 4G/5G, video transmission) are not included."
unitree-as2,Unitree As2,Unitree Robotics,China,quadruped,for-sale,3100,4650,2026-09,2026,,18,,4,15,,5,,,IP54,,"Unitree's own store checkout prices the As2 Air at $3,100 and the As2 Pro at $4,650; the As2 EDU carries Unitree's $100,000 contact-sales placeholder rather than a real price and is excluded from this range. Prices exclude shipping, duties and optional sensor payloads, and the Air variant is currently backordered."
unitree-z1,Unitree Z1,Unitree Robotics,China,industrial-arm,for-sale,15999,15999,2026-09,,,4.3,6,,2,700,,,,,"C++/Python SDK over Ethernet with position and force control; Ubuntu host, ROS support","Listed at $15,999 on Unitree's own store and marked ready to ship, with a further $1,000 per unit shipping charge stated on the product page. The higher-payload Z1 Pro variant is backordered and not separately priced there. End effectors beyond the standard gripper, duties and taxes are not included."
hello-robot-stretch-4,Hello Robot Stretch 4,Hello Robot,USA,service,for-sale,29950,29950,2026-09,2026,160,46,8,8,2.5,,,,,,Open-source ROS 2 and Python SDK; 3D SLAM navigation and data-collection tooling,"Published at $29,950 on Hello Robot's own purchase page, up from $24,950 for Stretch 3. The price includes the compliant gripper, battery and ballast, wall power supply, Aruco tag kit, gamepad and pistol teleop controllers, tools and cables, with a 30-day return window and a 1-year warranty. Add-ons are priced separately."
ubtech-uworld-u1,UBTech UWORLD U1,UBTech Robotics,China,humanoid,preorder,16500,136500,2026-09,2026,183,42,88,,,,,,,,,"Preorders open on JD.com (official channel) with a 3,000 CNY deposit: 119,800 CNY (~$16,500) for the semi-torso U1 Lite, 169,800 CNY (~$24,000) for the mid-tier U1 Pro, and up to 880,000/990,000 CNY (~$121,000/$136,500) for the flagship full-body U1 Ultra (female/male). Over 13,000 units reserved as of the June 30, 2026 launch event; first deliveries due no later than September 15, 2026, so nobody has one in hand yet."
pudu-kettybot-pro,Pudu KettyBot Pro,Pudu Robotics,China,service,for-sale,13995,14000,2026-09,2023,112,38,,9,10,,1.2,,,,,"Authorized US resellers publish an outright purchase price of $13,995-$14,000, covering the robot, first-year software and a one-year warranty; freight, on-site mapping and staff training are quoted separately. The same resellers now offer it on subscription from $479/month."
pudu-pudubot-2,Pudu PuduBot 2,Pudu Robotics,China,service,for-sale,6500,12999,2026-09,,129,39,,12,40,,1.2,,,,,"US distributor listings run from $6,500 for a base configuration to a $12,999 quoted MSRP, with $10,000 the most common published figure; the price covers the robot, standard trays and first-year software, but not freight, installation or site mapping. A subscription alternative is published from $270/month. The spread reflects configuration and dealer rather than a manufacturer list price - Pudu publishes none."
pudu-holabot,Pudu HolaBot,Pudu Robotics,China,service,for-sale,15000,17999,2026-09,,123,55,,12,60,,1.2,,,IPX5 (inner cabin),,"US distributor listings publish $15,000-$17,999 for outright purchase, the higher figure quoted as MSRP before freight and installation. Lease-to-own runs roughly $1,000-$1,250/month over 12-24 months. The price covers the four-tray robot, pager and charging dock; a spare hot-swap battery and elevator integration are extra."
relay-robotics-relay,Relay / Relay2,Relay Robotics,USA,service,enterprise-only,,,2026-09,2023,92,,,4,,,0.69,,,,,"Sold only on subscription - no outright purchase price is published. Relay Robotics' CEO has stated the subscription works out to about $75,000 over three years (roughly $2,080/month) with all maintenance and support included; earlier press reports put the lease near $2,000/month. Cost varies with the number of floors, elevator integrations and fleet size, so every deployment is quoted."
bear-robotics-servi-lift,Bear Robotics Servi Lift,Bear Robotics,USA,service,for-sale,22500,22500,2026-09,2023,,,,,,,,,,,,"An authorized US reseller publishes $22,500 for outright purchase or $1,195/month on subscription, covering the robot, elevator-integration software and first-year support but not the building-side elevator controller work, which is quoted per property. Bear Robotics has since retired the model: its product page returns 404 and the Servi Lift is absent from the company's sitemap, so what remains is reseller stock."
lg-cloi-servebot,LG CLOi ServeBot,LG Electronics,South Korea,service,for-sale,17900,17900,2026-09,,130,60,,11,30,,1,,,,,"LG publishes no MSRP; an authorized US reseller lists $17,900 for outright purchase or $746/month on subscription, covering the robot, software and first-year support but not freight, mapping or elevator integration. LG's own US business site currently returns no in-production ServeBot listings and marks the drawer-type LDLIM21 as discontinued, so availability should be confirmed before ordering."
yunji-run,Yunji RUN,Yunji Technology,China,service,for-sale,1820,3030,2026-09,,90,,,3.5,10,,0.7,,,,,"Yunji's Hong Kong IPO prospectus discloses an actual 2024 average selling price of RMB 13,100 for the RUN delivery robot - about $1,820 - and Chinese retail listings have appeared around RMB 21,800 (~$3,030). The lower figure is a disclosed average realised price to hotel customers rather than a list price a buyer can take, so the range spans both. Both prices fell sharply from RMB 23,200 in 2022."
miso-flippy-fry-station,Miso Flippy Fry Station,Miso Robotics,USA,service,enterprise-only,,,2026-09,2025,,,,,,,,,,,,"Sold only as robot-as-a-service at $5,400 per month with no upfront cost; the fee covers hardware, software, warranty, preventive maintenance and 24/7 bilingual support, while POS integration and extended analytics are paid add-ons. No outright purchase price has ever been published. For reference, the previous-generation Flippy 2 was offered at $3,500 per month plus an $11,000 installation fee."
hyphen-makeline,Hyphen Makeline,Hyphen,USA,service,enterprise-only,50000,100000,2026-09,,,,,,,,,,,,,"Hyphen's CEO stated on the record in December 2025 that the automated makelines cost between $50,000 and $100,000 to buy, the spread depending on configuration, and that customers often reach payback in under a year. Leases and pilot deals are offered as an alternative to outright purchase. The stated range covers the unit itself and does not spell out kitchen retrofit, integration or ongoing service."
gausium-phantas,Gausium Phantas,Gausium (Gaussian Robotics),China,service,for-sale,23800,29500,2026-09,,61.9,65,,4.5,,,,,,,,"US distributor listings price the bare robot at $23,800, with the auto-charging dock a separate $1,000 accessory and the bundle with the enhanced workstation listed from $29,500. Subscription is offered from $989 per month on a 36-month term. Prices exclude sales tax, freight, installation, training and wear parts."
keenon-kleenbot-c30,Keenon KLEENBOT C30,Keenon Robotics,China,service,for-sale,12200,12200,2026-09,,75,35,,6,,,0.8,,,,,"A US reseller lists the C30 at $12,200 including the 110V charging station and free domestic shipping; a European distributor lists the same machine at EUR 11,880 excluding VAT. Rental is offered from about $349 per month on a two-month minimum. Prices exclude VAT and duties, installation, training and consumables."
unitree-superman,Superman (prototype),Unitree Robotics,China,humanoid,not-for-sale,,,2026-09,2026,,,,,,,12.66,,,,,"Not for sale: Unitree unveiled this locomotion prototype on August 18, 2026, saying it was built in just over three months. The company disclosed a top running speed and a standing jump height but no price, no hands or end-effectors, no production timeline and no order channel — it says the machine remains a work in progress."
nori-a3,Nori A3,Nori Robotics,USA,service,preorder,1688,1688,2026-09,2026,,,,7,1.5,,,,,,"Nori Lab (laptop app), Skills Marketplace","Manufacturer's own site lists the Nori A3 at $1,688 full price with no deposit, for a second, limited production batch shipping fall 2026. It is a consumer device controlled and trained through a laptop app rather than a turnkey enterprise deployment."
microduck,Microduck,Pollen Robotics (Hugging Face),France,service,preorder,399,399,2026-09,2026,25,0.8,,,,,,,,,"Open-source SDK, simulator and RL training stack on GitHub (Apache-2.0)","Pollen Robotics (owned by Hugging Face) opened preorders on 2026-08-27 at an introductory $399 before tax and shipping, the same price across all four colorways. First deliveries are targeted before Christmas 2026 for North America and Europe; this is a small, open-source educational biped, not a labor platform."
zeals-d1,D1,ZEALS,Japan,service,preorder,31300,31300,2026-09,2026,129,,,8,,,,,,,,"ZEALS Corporation (Tokyo) opened sales and deployment consultations for the D1 on 2026-08-05, pricing it from ¥5,000,000 per unit (about $31,300 at current rates), per the company's own launch announcement. ZEALS is targeting 100 units of production within fiscal 2026, starting with hospital and eldercare pilots — this is a first-generation robot with no delivered-unit track record yet."
agibot-expedition-a3,Expedition A3,AgiBot (Zhiyuan Robotics),China,humanoid,enterprise-only,,,2026-09,2026,,55,,,,,,,,,,"AgiBot has not published an official price for the Expedition A3, a martial-arts/exhibition humanoid unveiled at a Shanghai gala in February 2026. Conflicting analyst estimates of $45,000–$110,000 circulate on aggregator sites but do not trace to a manufacturer announcement or distributor listing, so no figure is shown here."
engineai-t800,T800,EngineAI,China,humanoid,for-sale,25000,80800,2026-09,2026,173,75,29,,,,,,,,,"EngineAI's own official page lists China domestic entry pricing at 180,000 CNY (about $25,000), rising to $80,800 for the top international Max edition. The T800 is sold only in China as of August 2026, amid a broader US import restriction on Chinese humanoid and quadruped robots."
anybotics-anymal-x,ANYmal X,ANYbotics,Switzerland,quadruped,enterprise-only,,,2026-09,2026,,,,,,,,,,,,"The world's first Ex-certified (Zone 1 ATEX/IECEx explosion-proof) legged robot, built for oil & gas, chemical and mining inspection in hazardous zones. Sold only as a custom enterprise deployment; ANYbotics publishes no price."
pudu-d7,D7,Pudu Robotics (Pudu Embodied),China,service,enterprise-only,,,2026-09,2026,165,45,30,8,14,,,,,,,"Industrial semi-humanoid with dual-arm force control and autonomous battery swapping, launched June 1, 2026 for manufacturing and warehouse environments running the maker's own embodied foundation model. Sold via direct enterprise deployment; no public price disclosed."
robot-com-r-noid,R-noid,Robot.com,USA,service,enterprise-only,,,2026-09,2026,,,,,,1900,,,,,,"Legless, wheeled general-purpose humanoid launched June 22, 2026 for logistics, hospitality and food-service tasks, with dual 7-DoF arms and a 4-DoF torso reaching up to 1.9 m; deployed only via Robot-as-a-Service contracts with 8–12 week onboarding, no public unit price."
galbot-s1,S1,Galbot,China,service,enterprise-only,,,2026-09,2026,,,,8,50,1050,1.5,,,,,"Heavy-duty wheeled dual-arm robot launched January 2026 for factory material handling, with an industry-leading 50 kg continuous dual-arm payload; in active deployment at CATL battery-manufacturing sites. Enterprise sales only, no public price."
lightberry-lumi,Lumi,Lightberry,USA,humanoid,preorder,39990,39990,2026-09,2026,127,40,34,3,,,,,,,Lightberry OS (proprietary conversational-interaction stack on Unitree G1 hardware),"Reservation price on Lightberry's own site for Founder Edition units shipping in 2026. Lumi is a branded interaction platform built on a customized Unitree G1 hardware base (29 DoF chassis extended to 34 DoF with added grippers), sold and supported by Lightberry rather than through Unitree's own store."
anan-panda,An'An Panda,Mind With Heart Robotics,China,service,for-sale,1000,1500,2026-09,2026,,,,,,,,,,,,"European retail launch pricing announced at IFA Berlin 2026: $1,000-$1,500 per unit through distributors newly signed in Germany and Belgium. An early Forbes preview in January 2026 had floated under $600 for a consumer version; the confirmed launch price is well above that estimate. First production run is only 100 units, with a separate B2B configuration (behavioral-tracking dashboard for care providers) priced separately and not disclosed."
